CCc1sc2nc(=N)[nH]c(O)c2c1Sc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1	-0.15961645543575287
CC[C@@H](CO)N1C(=O)[C@H](CC(=O)O)O[C@@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1	-0.179521381855011
CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O	-0.1889303980217803
C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)c2ccc3cc(Cl)ccc3c2)C1=O	-0.19034560769796371
C[C@@H](O)[C@H](NC(=O)c1ccc(C#CC#Cc2ccc(N)cc2)cc1)C(=O)NO	-0.19487937539815903
CC1(C)S[C@@H]([C@H](NC(=O)Cc2ccccc2)C(=O)O)N[C@H]1C(=O)O	-0.19631239674661471
CN(Cc1cnc2nc(=N)[nH]c(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1	-0.19722525775432587
COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)c2cccnc2)cc1	-0.19922451674938202
N=c1nc(O)c2c(CCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c[nH]c2[nH]1	-0.20087987557053566
COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)c2cnccn2)cc1	-0.20283839106559753
COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)c2ccncc2)cc1	-0.2048277109861374
COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(C)=O)cc1	-0.20513701129634426
CCc1sc2nc(=N)[nH]c(O)c2c1Sc1ccc(C(=O)N[C@@H](CCCC(=O)O)C(=O)O)cc1	-0.20676137506961823
CN(C)c1cccc2c(S(=O)(=O)N[C@@H](CCC(=O)O)C(=O)O)cccc12	-0.2068227203876098
CC1(C)S[C@H]([C@H](NC(=O)Cc2ccccc2)C(=O)O)N[C@H]1C(=O)O	-0.20682686567306519
CN(Cc1cnc2nc(=N)[nH]c(O)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1	-0.2079153209924698
COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)c2ccccn2)cc1	-0.20791931450366974
N=c1nc(O)c2c([nH]1)NC[C@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2	-0.20988541841506958
N=c1nc(O)c2c([nH]1)NC[C@H](CCc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)C2	-0.21000223606824875
C[C@@H](C(=O)O)N1C(=O)[C@H](CC(=O)O)O[C@@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1	-0.21008006483316422
Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)CO)c1nc(O)nc(O)c1N2	-0.21025999620252725
N[C@@H](CCC(=O)N[C@@H](CSCc1ccc([N+](=O)[O-])cc1)C(=O)NCC(=O)O)C(=O)O	-0.21031393483281136
N[C@@H](CCC(=O)N[C@@H](CSc1ccc([N+](=O)[O-])cc1)C(=O)NCC(=O)O)C(=O)O	-0.21068069835503897
CC1(C)S[C@H]([C@@H](C=O)NC(=O)Cc2ccccc2)N[C@H]1C(=O)O	-0.21167628988947088
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O	-0.21263529883142104
N[C@@H](Cn1ccc(=O)n(Cc2ccc(C(=O)O)cc2)c1=O)C(=O)O	-0.21630245447158813
COc1cc(C(C)(C)C#Cc2c(C)[nH]c(=N)[nH]c2=N)cc(OC)c1OC	-0.21886435399452844
CC1(C)S[C@@H]([C@H](NC(=O)CCc2ccccc2)C(=O)O)N[C@H]1C(=O)O	-0.21924133598804474
CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O	-0.21959740406758077
CC1(C)S[C@@H]([C@@H](C=O)NC(=O)Cc2ccccc2)N[C@H]1C(=O)O	-0.2196092226543702
CCN(CC)c1ccc2c(c1)Oc1cc(N(CC)CC)ccc1C2c1ccccc1C(=O)O	-0.22146243069853103
CCc1sc2nc(=N)[nH]c(O)c2c1Sc1ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc1	-0.22196049988269806
